COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Nicaragua,NIC,AMRO,REPORTING,2023-06-02,15498213,6404524,233.951,96.679,6117158,92.341,,2021-03-03,11,2892531,43.664
Palau,PLW,WPRO,REPORTING,2023-03-10,51032,18573,282.069,102.659,18278,101.028,,2021-01-03,3,12885,71.219
Paraguay,PRY,AMRO,REPORTING,2023-06-02,9784169,3995915,137.177,56.024,3547736,49.74,,2021-02-22,8,1660692,23.283
Philippines,PHL,WPRO,REPORTING,2023-03-19,189317158,82684774,172.764,75.455,78443972,71.585,,2021-03-01,11,23811248,21.729
Pitcairn Islands,PCN,WPRO,REPORTING,2022-08-29,117,47,234,94,47,94,,2021-05-17,1,23,46
Republic of Korea,KOR,WPRO,REPORTING,2023-06-29,135864922,44895042,265.003,87.567,42970676,83.814,,2021-02-26,5,33644119,65.622
Russian Federation,RUS,EURO,OWID,2023-05-26,186692479,88811982,127.9,60.857,79702396,54.615,,,2,,
Samoa,WSM,WPRO,REPORTING,2023-02-24,453130,191403,228.376,96.466,177954,89.688,,2021-04-18,2,82268,41.463
Sierra Leone,SLE,AFRO,REPORTING,2023-06-04,8475172,5399967,106.245,67.694,4638619,58.15,,2021-03-15,2,977762,12.257
Singapore,SGP,WPRO,REPORTING,2023-07-04,15294917,5285599,261.436,90.347,5248048,89.705,,2020-12-30,4,4761270,81.384
Sint Eustatius,XBA,AMRO,REPORTING,2023-06-02,4319,1791,137.592,57.056,1686,53.711,,,,767,24.435
Spain,ESP,EURO,REPORTING,2023-06-11,112837406,41328627,238.4,87.315,37483217,79.191,,2020-12-30,4,26563654,56.121
Switzerland,CHE,EURO,REPORTING,2023-06-11,16755470,6096586,193.6,70.841,5723015,66.5,,2020-12-23,6,4996200,58.055
Syrian Arab Republic,SYR,EMRO,REPORTING,2023-04-18,5090630,3295630,29.088,18.831,2358365,13.476,,2021-04-01,11,75881,0.434
Timor-Leste,TLS,SEARO,REPORTING,2023-06-26,2019384,884194,153.164,67.063,799627,60.649,,2021-04-07,4,335563,25.451
Viet Nam,VNM,WPRO,REPORTING,2023-06-30,266492149,90272853,273.779,92.741,85961564,88.312,,2021-03-08,6,57975220,59.56
